isotope,serie,energy,bkg,bkg_error,standard_name,standard,standard_error
K-40,potassium,1460.83,0.730779922,0.076042315,GSN,51.65861686,0.508272731
Pb-210,uranium,46.5,0.633550619,0.104851269,GSN,14.51002113,0.600952372
Th-234,uranium,63,0.081676851,0.073410001,GSN,15.95096503,0.507926267
Th-234,uranium,92.8,0.260345275,0.150634611,GSN,44.36550146,0.845623331
U-235,uranium,185.8,0.363443475,0.11109938,GSN,18.90623653,0.496771563
Pa-234m,uranium,1001.03,-0.028836189,0.043127342,GSN,0.346046958,0.175970619
Th-230,uranium,67.67,-0.182004175,0.07519344,GSN,1.974388309,0.461070539
Pb-214,uranium,295.091,0.779301728,0.090971879,GSN,34.90951043,0.488646287
Pb-214,uranium,351.87,1.376799051,0.076985685,GSN,56.78569083,0.531113255
Bi-214,uranium,609.311,0.774382751,0.08695092,GSN,31.56013948,0.456673532
Bi-214,uranium,1120.273,-0.099181065,0.079637454,GSN,6.415171048,0.343802276
Pb-212,thorium,238.6,0.187617959,0.076377901,GSN,170.8532572,0.84242238
Ac-228,thorium,339.1,0.101838357,0.066627564,GSN,29.35211228,0.412360665
Tl-208,thorium,583.191,0.20408046,0.051283285,GSN,35.69121484,0.426092832
Bi-212,thorium,727.1,0.04973119,0.064053035,GSN,8.775374036,0.327937645
Tl-208,thorium,860.54,-0.072617114,0.065340582,GSN,4.492421788,0.285297698
Ac-228,thorium,911.205,0.22750949,0.064616918,GSN,24.97250047,0.398389168
Ac-228,thorium,968.971,0.010268192,0.045278165,GSN,14.10152263,0.286797347
