isotope,serie,energy,bkg,bkg_error,standard_name,standard,standard_error
K-40,potassium,1460.83,0.730779922,0.076042315,GSN,150.5669504,0.846889436
Pb-210,uranium,46.5,0.633550619,0.104851269,GSN,37.61682506,1.022401135
Th-234,uranium,63,0.081676851,0.073410001,GSN,42.61528888,0.917379274
Th-234,uranium,92.8,0.260345275,0.150634611,GSN,126.8654288,1.498074219
U-235,uranium,185.8,0.363443475,0.11109938,GSN,53.12852217,0.861021518
Pa-234m,uranium,1001.03,-0.028836189,0.043127342,GSN,2.051049357,0.264942077
Th-230,uranium,67.67,-0.182004175,0.07519344,GSN,6.208663921,0.848128026
Pb-214,uranium,295.091,0.779301728,0.090971879,GSN,95.79089564,0.799183413
Pb-214,uranium,351.87,1.376799051,0.076985685,GSN,158.0920673,0.897013549
Bi-214,uranium,609.311,0.774382751,0.08695092,GSN,94.62173002,0.778862135
Bi-214,uranium,1120.273,-0.099181065,0.079637454,GSN,17.39392598,0.566142869
Pb-212,thorium,238.6,0.187617959,0.076377901,GSN,482.0609423,1.443034703
Ac-228,thorium,339.1,0.101838357,0.066627564,GSN,83.09791751,0.692754622
Tl-208,thorium,583.191,0.20408046,0.051283285,GSN,111.4002957,0.728322164
Bi-212,thorium,727.1,0.04973119,0.064053035,GSN,24.50395681,0.528847731
Tl-208,thorium,860.54,-0.072617114,0.065340582,GSN,13.21161491,0.45822828
Ac-228,thorium,911.205,0.22750949,0.064616918,GSN,75.37942256,0.662553421
Ac-228,thorium,968.971,0.010268192,0.045278165,GSN,42.2205214,0.481239964
