standard,thickness,volume,mass,activity_U,activity_U_error,activity_Th,activity_Th_error,activity_K,activity_K_error,content_U,content_Th,content_K
GSN,1.6,62,70.037,6.952682402,0.006,11.93480524,0.01,83.36514009,0.005,8.04,42.15,3.85
GSN,0.8,12,15.276,1.516472384,0.006,2.603139552,0.01,18.18304439,0.005,8.04,42.15,3.85
