isotope,series,energy,bkg,bkg_error,std,std_error,std_name
K40,potassium,1460.83,0.7361529,0.094147,53.446881366,0.453449278,GSN
Pb210,uranium,46.5,0.4548606,0.1280385,14.636238036,0.535838661,GSN
Th234,uranium,63.29,-0.0105582,0.0876328,15.569911221,0.448228824,GSN
Th234,uranium,92.8,0.1847354,0.1743968,44.00996179,0.760478216,GSN
U235,uranium,185.8,0.1480964,0.1267141,18.858900941,0.440552914,GSN
Pa234m,uranium,1001.03,-0.1023942,0.0510433,0.481234986,0.153363416,GSN
Th230,uranium,67.67,-0.2041378,0.0914535,2.056976716,0.409698468,GSN
Pb214,uranium,295.091,0.5825175,0.1093986,33.981484372,0.43281097,GSN
Pb214,uranium,351.87,1.1398226,0.0962846,56.197344084,0.477209083,GSN
Bi214,uranium,609.311,0.8895649,0.1026377,31.932716246,0.413612365,GSN
Bi214,uranium,1120.273,-0.2836617,0.1003571,5.876353955,0.323458791,GSN
Pb212,thorium,238.6,0.0580275,0.0931664,172.020375701,0.749249626,GSN
Ac228,thorium,339.1,-0.0271012,0.0809101,29.051726338,0.367281016,GSN
Tl208,thorium,583.191,0.0914245,0.063374,35.875527011,0.369940923,GSN
Bi212,thorium,727.1,0.0267441,0.0788113,8.829262622,0.291924966,GSN
Tl208,thorium,860.54,0.0882444,0.0815521,4.662363682,0.250975868,GSN
Ac228,thorium,911.205,0.1390168,0.0785773,24.500028496,0.362023111,GSN
Ac228,thorium,968.971,0.0542678,0.053296,13.76101588,0.258420373,GSN
