isotope,series,energy,bkg,bkg_error,std,std_error,std_name
K40,potassium,1460.83,0.685311159,0.08788705,52.7844277,0.524897231,GSN
Pb210,uranium,46.5,0.479285871,0.122699255,15.49257157,0.625364766,GSN
Th234,uranium,63.29,0.000610689,0.085048033,16.12228912,0.523481548,GSN
Th234,uranium,92.8,0.342394118,0.172292402,44.03798651,0.883853907,GSN
U235,uranium,185.8,0.09801267,0.122411622,18.14532503,0.512291784,GSN
Pa234m,uranium,1001.03,0.062775137,0.049292119,0.965989209,0.175931802,GSN
Th230,uranium,67.67,-0.444685444,0.088782516,2.706880247,0.479888094,GSN
Pb214,uranium,295.091,0.804257089,0.106214421,33.90488703,0.500720829,GSN
Pb214,uranium,351.87,1.447696738,0.094063625,55.95230355,0.560922316,GSN
Bi214,uranium,609.311,1.099398412,0.102151216,31.40486802,0.484833646,GSN
Bi214,uranium,1120.273,0.193056181,0.092268336,5.757644565,0.371931915,GSN
Pb212,thorium,238.6,0.307944743,0.089457311,169.6697814,0.875474815,GSN
Ac228,thorium,339.1,0.001003664,0.076480768,28.95939164,0.429476074,GSN
Tl208,thorium,583.191,0.093740311,0.060471218,36.11372029,0.436328169,GSN
Bi212,thorium,727.1,0.030671489,0.074590395,8.313921751,0.347549335,GSN
Tl208,thorium,860.54,-0.11272259,0.077636398,4.664885186,0.301610397,GSN
Ac228,thorium,911.205,0.079826145,0.074612037,25.00269516,0.417614124,GSN
Ac228,thorium,968.971,0.057416614,0.051922382,14.24283946,0.305499889,GSN
